	rgdp	rc	rinv	hours	wage	core inf	ffed
1954 - Q4	1.80115761	0.955792727	5.100262721	5.376325081	0.79777921		0.99
1955 - Q1	2.627083589	0.709227363	9.224870254	5.389157743	0.495576598		1.34
1955 - Q2	1.12407183	0.386992196	4.950775731	5.398394135	1.656910134		1.5
1955 - Q3	1.003726048	0.105904038	2.211462094	5.405549276	1.176960815		1.94
1955 - Q4	0.62717322	1.326244521	1.613099421	5.414851842	0.958935083		2.36
1956 - Q1	-0.706403308	0.219557755	-3.525657766	5.418207662	1.261278664		2.48
1956 - Q2	0.155530256	-0.07374233	-2.552510949	5.417614414	1.697976909		2.69
1956 - Q3	-0.279365671	0.002722299	-0.529067819	5.410685757	1.669670307		2.81
1956 - Q4	1.119069875	0.646819819	-0.442440489	5.413344853	1.821228571		2.93
1957 - Q1	0.593761038	-0.030986509	0.080475815	5.411648558	1.370491856		2.93
1957 - Q2	-0.541085007	0.142070463	-1.240158523	5.406624316	0.875616762		3
1957 - Q3	0.433959653	0.878655608	-0.249213464	5.398326693	1.530953252		3.23
1957 - Q4	-1.974335936	-0.072932304	-8.777751709	5.373534053	1.47510537		3.25
1958 - Q1	-2.83318945	-0.533439905	-7.476264127	5.347371534	1.159010178		1.86
1958 - Q2	0.207108585	0.770646873	-3.329188527	5.330311185	1.288112244		0.94
1958 - Q3	2.423363123	1.149478892	6.996815126	5.339379818	1.182771351		1.32
1958 - Q4	2.287496448	0.467179585	7.738261888	5.350374882	0.903401522		2.16
1959 - Q1	1.392471116	1.106387235	4.300906355	5.365765858	0.77985969		2.57
1959 - Q2	1.990325288	0.927286329	5.786546852	5.381018499	0.658570205	0.51	3.08
1959 - Q3	-0.527159735	0.928576618	-4.678502707	5.374507914	0.542139963	0.65	3.58
1959 - Q4	0.027426156	0.816123799	-0.166537754	5.371473282	1.113527218	0.57	3.99
1960 - Q1	1.773902571	-0.130521836	7.808041565	5.370839766	2.351928825	0.32	3.93
1960 - Q2	-0.854542979	1.058604055	-7.225842409	5.369804986	0.769528109	0.39	3.7
1960 - Q3	-0.245245305	-0.60152284	-1.972615292	5.360933723	0.803570812	0.4	2.94
1960 - Q4	-1.786210306	0.295452751	-10.72849398	5.348084873	0.765594382	0.33	2.3
1961 - Q1	0.325359469	0.536799831	-0.758680515	5.338813177	0.865353212	0.17	2
1961 - Q2	1.547599967	0.807948522	5.186696718	5.3332564	1.632721156	0.33	1.73
1961 - Q3	1.361635875	-0.030229313	5.854676591	5.33604278	1.055165765	0.44	1.68
1961 - Q4	1.937499861	1.275598909	2.606146286	5.347080817	0.863183989	0.25	2.4
1962 - Q1	1.64250779	0.677672663	3.898963087	5.349160122	1.715062156	0.38	2.46
1962 - Q2	0.604576778	0.766579698	-0.766301045	5.357329957	0.670460898	0.38	2.61
1962 - Q3	0.434591971	0.32682374	0.725708097	5.350672086	1.062827036	0.32	2.85
1962 - Q4	-0.359484476	0.467728385	-1.930281378	5.338673227	1.665703496	0.17	2.92
1963 - Q1	0.76777138	0.007478537	3.220999115	5.339834142	0.8568805	0.33	2.97
1963 - Q2	0.902504903	0.333584358	1.543610873	5.341816475	0.810870187	0.36	2.96
1963 - Q3	1.46906734	1.301053946	1.846678481	5.340408673	1.17961503	0.37	3.33
1963 - Q4	0.504504631	0.05795725	1.223315691	5.343926023	0.99501886	0.48	3.45
1964 - Q1	1.728750835	1.403983171	2.811504414	5.358118267	-0.04587318	0.44	3.46
1964 - Q2	0.6834391	1.142510585	0.14023944	5.358464336	1.600769828	0.31	3.49
1964 - Q3	0.823921396	1.065173348	1.42451549	5.360549781	1.328285714	0.29	3.46
1964 - Q4	-0.140009599	0.358715502	-0.836763613	5.365825029	0.621119573	0.26	3.58
1965 - Q1	2.088175836	0.588972421	8.798262352	5.377134547	0.169684754	0.37	3.97
1965 - Q2	0.917618801	1.074336119	-0.849060572	5.382958723	0.752759687	0.31	4.08
1965 - Q3	1.617532299	1.144742447	2.392343203	5.381987873	1.824500179	0.3	4.07
1965 - Q4	2.080461505	2.059524391	1.437261715	5.388074322	1.996610391	0.33	4.17
1966 - Q1	2.190391164	0.943301932	5.757954347	5.399716434	1.516300412	0.51	4.56
1966 - Q2	-0.052276669	0.686910539	-3.006416112	5.40668165	1.591211226	0.81	4.91
1966 - Q3	0.46630253	0.398911124	-0.169606812	5.408493404	2.05985309	0.83	5.41
1966 - Q4	0.551631293	0.149518213	0.199832264	5.402808355	2.058207086	0.87	5.56
1967 - Q1	0.52051881	0.55509873	-3.236982979	5.398369865	1.459666198	0.55	4.82
1967 - Q2	-0.436174398	0.372775956	-2.088797534	5.388497538	1.836438028	0.66	3.99
1967 - Q3	0.36971217	0.212260527	1.0892437	5.386862882	1.718477929	0.9	3.89
1967 - Q4	0.316662033	-0.02050863	1.033123061	5.386868266	1.818339784	0.99	4.17
1968 - Q1	1.66242817	1.333306603	3.035209051	5.384743174	2.800719527	1.12	4.79
1968 - Q2	1.274932533	1.060263844	2.329523222	5.390907942	1.608583094	1.15	5.98
1968 - Q3	0.300760173	1.123611909	-1.057919347	5.393804584	1.933929888	1.11	5.94
1968 - Q4	-0.032476192	-0.077598808	0.32270025	5.395213536	1.690515253	1.16	5.92
1969 - Q1	1.153528675	0.576229557	4.200628059	5.400057769	1.268743501	1.1	6.57
1969 - Q2	-0.162137445	0.451452572	-1.568939148	5.405207521	1.547989233	1.2	8.33
1969 - Q3	0.179411276	0.094398388	0.062723187	5.405705936	2.427809247	1.15	8.98
1969 - Q4	-0.910117596	0.516207975	-4.150243258	5.397836002	2.261945676	1.17	8.94
1970 - Q1	-0.649652993	0.392478351	-3.792388653	5.38869065	2.119700892	1.08	8.57
1970 - Q2	-0.397539767	-0.406844088	-0.062212668	5.370089468	2.242724514	1.12	7.88
1970 - Q3	0.317052846	0.6196321	-0.054979523	5.359312113	1.803494358	1.11	6.7
1970 - Q4	-1.634850961	0.160230444	-6.759354752	5.345831979	1.037654392	1.4	5.57
1971 - Q1	2.167751157	-0.637323292	11.09727504	5.344948722	2.327567709	1.26	3.86
1971 - Q2	-0.030192569	0.006128646	1.890060384	5.34247616	1.54685996	1.14	4.56
1971 - Q3	0.251693195	0.123280366	0.924518387	5.336958419	1.576757943	0.94	5.47
1971 - Q4	-0.283133821	0.659151031	-1.461802711	5.341928388	0.756747365	0.57	4.75
1972 - Q1	0.55535401	-0.503956069	3.145495992	5.342774672	2.389478405	0.96	3.54
1972 - Q2	1.834110505	1.262601788	4.244346251	5.344659389	1.360685995	0.68	4.3
1972 - Q3	0.475708288	0.858316069	1.450262271	5.344960184	1.363151894	0.75	4.74
1972 - Q4	1.300041945	1.194931291	1.871385013	5.350578002	2.223168618	0.63	5.14
1973 - Q1	1.888872372	0.545376347	4.563754164	5.360426457	2.121823377	0.69	6.54
1973 - Q2	0.518798238	0.117409082	1.335206935	5.36567455	1.372610748	1.37	7.82
1973 - Q3	-1.017231952	0.227565295	-3.660967443	5.367250694	1.684200624	1.32	10.56
1973 - Q4	0.708807187	0.190074812	1.277653769	5.367147658	2.223519238	1.39	10
1974 - Q1	-1.534122954	0.043008507	-6.521194777	5.357747232	2.565185807	1.7	9.32
1974 - Q2	-0.110718549	0.42885245	0.487060168	5.355284178	2.114044426	2.46	11.25
1974 - Q3	-1.638769842	-0.69366406	-3.880349889	5.34679531	2.780801414	2.82	12.09
1974 - Q4	-0.990713455	-1.238416408	-3.22710039	5.325114166	3.064171841	2.42	9.35
1975 - Q1	-1.699252401	-0.207774868	-11.60393039	5.288405308	3.589984226	1.94	6.3
1975 - Q2	0.324231136	0.822669084	-1.066528565	5.274391888	2.246163949	1.52	5.42
1975 - Q3	1.096903387	0.240300869	6.015079691	5.277823692	1.840440736	1.5	6.16
1975 - Q4	0.811285442	0.208581744	1.936131452	5.289931359	1.371856271	1.61	5.41
1976 - Q1	1.73343616	0.9530468	7.253918735	5.301550536	1.823432157	1.51	4.83
1976 - Q2	0.308901973	0.275881718	2.835384656	5.297412406	2.255692124	1.19	5.2
1976 - Q3	0.025825111	0.788660206	0.091306073	5.296564353	1.936284196	1.55	5.28
1976 - Q4	0.373797482	0.650641307	0.838011721	5.29747046	1.983897377	1.55	4.87
1977 - Q1	0.721030623	0.516242339	3.972990923	5.303685831	1.538968638	1.65	4.66
1977 - Q2	1.328553392	0.08893067	4.319862153	5.317899099	1.37518889	1.52	5.16
1977 - Q3	1.125666457	0.574829067	3.209109447	5.323661007	1.687520999	1.66	5.82
1977 - Q4	0.023362728	0.709365614	0.260395602	5.328935031	2.056540118	1.46	6.51
1978 - Q1	-0.268264223	0.773009668	-0.576439226	5.32925292	2.415172261	1.58	6.76
1978 - Q2	3.337208391	1.01156285	6.05124947	5.353759363	0.843422448	1.72	7.28
1978 - Q3	0.452227148	0.336161702	1.020992737	5.357566231	1.923654162	1.71	8.1
1978 - Q4	0.918125913	0.217361232	1.478337679	5.364952591	2.026528203	1.78	9.58
1979 - Q1	-0.327918842	0.432289526	-0.937716623	5.367546547	2.402456596	1.35	10.07
1979 - Q2	-0.295642276	0.341464195	-1.317385645	5.367385244	1.767334192	2.17	10.18
1979 - Q3	0.358042717	0.848850002	-0.604330918	5.371167837	1.90625075	1.82	10.95
1979 - Q4	-0.205653765	0.745177143	-2.517273764	5.367959712	2.537003119	2.06	13.58
1980 - Q1	-0.190765063	0.411103409	-1.393797617	5.361319253	2.823899645	2.41	15.05
1980 - Q2	-2.456791715	-1.106889347	-10.352398	5.339803817	3.145121167	2.21	12.69
1980 - Q3	-0.595324523	0.302115305	-4.653906103	5.3310685	2.425853168	2.2	9.84
1980 - Q4	1.440443459	0.50820053	6.176207521	5.339871356	2.512827729	2.4	15.85
1981 - Q1	1.623028002	-0.106000312	6.787976848	5.341908865	2.457122238	2.19	16.57
1981 - Q2	-1.025040688	0.107161263	-4.195704326	5.338975258	1.812647446	1.86	17.78
1981 - Q3	0.801603874	-0.486374148	4.244483745	5.335245949	2.126746784	1.82	17.58
1981 - Q4	-1.511345535	-0.335007835	-5.156673765	5.328009819	1.890519097	1.75	13.59
1982 - Q1	-2.001975333	-0.077029954	-7.488186772	5.308815969	2.894710333	1.43	14.23
