	gdp ( bil)	c ($bil)	cd (durable goods consumption $bil)	cn (nondurables consumption $bil)	cs (services consumption $bil)	I (gross private domestic investment $bil)	jgdp (gdp chain price index 2000=100)	ln16n (noninstitutional pop 16yr + in thousands)	ycomp (compensation of employees paid $bil)	lxnfh (nonfarm business sector: hours of all persons 1992=100)		ffed (federal funds rate: effective)
1947 - Q1	237.2	156.3	20.7	74.9	60.7	33.7	13.4		127.2	45.361		
1947 - Q2	240.4	160.2	21.4	76.9	61.9	32.4	13.595		128.7	45.364		
1947 - Q3	244.5	163.7	21.8	78.6	63.3	32.7	13.823		130.1	45.487		
1947 - Q4	254.3	167.8	23.5	80	64.4	41	14.106		134.3	45.93		
1948 - Q1	260.3	170.5	23.5	81.5	65.4	45	14.264	102691	137.9	46.223		
1948 - Q2	267.3	174.3	24	83.2	67.1	48.1	14.422	102915	139.6	46.199		
1948 - Q3	273.8	177.2	25.3	83.5	68.5	50.2	14.679	103249	144.5	46.528		
1948 - Q4	275.1	178.1	25	83.7	69.4	49.1	14.676	103418	145.9	46.097		
1949 - Q1	269.9	177	24.4	82.7	69.8	40.9	14.634	103584	144.1	45.32		
1949 - Q2	266.2	178.6	26.4	81.9	70.3	34	14.541	103838	141.9	44.562		
1949 - Q3	267.6	178	27.3	80.3	70.4	37.3	14.419	104127	141	44.095		
1949 - Q4	265.2	180.4	28.4	80.9	71.1	35.2	14.416	104428	140.5	43.918		
1950 - Q1	275.2	183.1	29.3	81.5	72.3	44.4	14.362	104733	144.6	44.258		
1950 - Q2	284.5	187	29.8	82.8	74.4	49.9	14.421	105020	150.6	45.351		
1950 - Q3	301.9	200.7	37.4	86.6	76.7	56.1	14.714	105248	159	46.781		
1950 - Q4	313.3	198.1	33.3	86.7	78.2	65.9	14.964	104982	166.9	47.212		
1951 - Q1	329	209.4	35.6	92	81.8	62.1	15.48	104692	175	48.006		
1951 - Q2	336.6	205.1	30.7	91.4	83	64.8	15.568	104507	180.6	48.392		
1951 - Q3	343.5	207.8	30.2	93.2	84.4	59.4	15.619	104543	183.7	47.914		
1951 - Q4	347.9	211.8	30.4	95.5	85.9	54.4	15.821	104747	186.5	47.936		
1952 - Q1	351.2	213.1	30.8	94.8	87.6	55.2	15.838	104863	191.5	48.245		
1952 - Q2	352.1	217.3	31	96.6	89.7	49.9	15.905	105007	192.8	48.045		
1952 - Q3	358.5	219.8	29.5	98.5	91.8	53.9	16.025	105343	196.3	48.39		
1952 - Q4	371.4	227.9	33.7	100.3	93.9	57.1	16.081	105703	204.1	49.685		
1953 - Q1	378.4	231.5	35.2	100.5	95.8	57.9	16.096	106672	208	50.201		
1953 - Q2	382	233.3	35	100.6	97.7	58.1	16.133	106905	211.3	50.289		
1953 - Q3	381.1	234	34.6	99.8	99.6	57.4	16.187	107140	211.5	49.787		
1953 - Q4	375.9	233.5	33.7	100	99.8	52.3	16.241	107503	210	49.003		
1954 - Q1	375.2	235.5	32.9	101.3	101.3	51.5	16.309	107877	208.1	48.345		
1954 - Q2	376	238.3	33.6	101.3	103.3	51.2	16.334	108177	207.7	47.981		
1954 - Q3	380.8	240.7	33.2	102.2	105.3	54.7	16.324	108443	208.3	47.793		?1.03
1954 - Q4	389.4	245.5	35.1	103.4	107	57.8	16.343	108786	212.6	48.392		0.99
1955 - Q1	402.6	251.8	38.4	104.5	108.9	64.2	16.407	109130	217.1	49.172		1.34
1955 - Q2	410.9	256.9	40.7	106.1	110.1	68.1	16.497	109534	223.6	49.812		1.5
1955 - Q3	419.4	261.1	42.4	106.9	111.8	70	16.617	109884	228.6	50.33		1.94
1955 - Q4	426	265.1	41.4	109	114.7	73.9	16.727	110186	233.6	50.94		2.36
1956 - Q1	428.3	266.7	39.7	110.5	116.5	73	16.891	110483	238	51.249		2.48
1956 - Q2	434.2	269.4	39.8	111.3	118.3	71.4	17.05	110788	242.6	51.36		2.69
1956 - Q3	439.2	272.6	39.7	112.4	120.5	72.5	17.244	111113	245.7	51.155		2.81
1956 - Q4	448.1	278	41.5	113.7	122.8	71.2	17.348	111431	251.6	51.438		2.93
